symbol,tick_profit_loss,winners,loses,long_trade_count,short_trade_count,above_below_moving_average,above_below_band
EURJPY,77715,179,161,149,191,false,false
NZDUSD,-376,192,194,202,184,false,false
AUDUSD,1786,202,161,170,193,false,false
GBPUSD,152,180,166,169,177,false,false
EURUSD,-961,185,175,175,185,false,false
EURGBP,199,215,191,184,222,false,false
USDCAD,-802,225,218,238,205,false,false
USDCHF,255,203,189,192,200,false,false
EURCHF,264,260,244,279,225,false,false
USDJPY,129458,159,126,149,136,false,false
